2020-08-23 14:15:28,209 | INFO | DefaultCamelContext.java 4026 | Route: route2 started and consuming from: file://data/input1?noop=true
2020-08-23 14:15:28,210 | INFO | DefaultCamelContext.java 3195 | Total 2 routes, of which 2 are started
2020-08-23 14:15:28,212 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.392 seconds
2020-08-23 14:15:29,227 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Preetams-MacBook-Pro-local-1598188527587-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/preetampotdar/IdeaProjects/learncamel-simple-route/data/input/file2.txt, CamelFileLastModified=1598185442000, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2020-08-23 14:15:29,235 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Preetams-MacBook-Pro-local-1598188527587-0-4, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/preetampotdar/IdeaProjects/learncamel-simple-route/data/input/file1.txt, CamelFileLastModified=1598185442000, CamelFileLength=2, CamelFileName=file1.txt, CamelFileNameConsumed=file1.txt, CamelFileNameOnly=file1.txt, CamelFileParent=data/input, CamelFilePath=data/input/file1.txt, CamelFileRelativePath=file1.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2020-08-23 14:15:33,213 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-23 14:15:33,214 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 2 routes (timeout 300 seconds)
2020-08-23 14:15:33,218 | INFO | DefaultShutdownStrategy.java 671 | Route: route2 shutdown complete, was consuming from: file://data/input1?noop=true
2020-08-23 14:15:33,219 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2020-08-23 14:15:33,219 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 2 routes completed in 0 seconds
2020-08-23 14:15:33,236 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.418 seconds
2020-08-23 14:15:33,236 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.023 seconds
2020-08-23 14:32:14,497 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2020-08-23 14:32:14,501 | INFO | CamelTestSupport.java 244 | Testing: checkFileExistsInOutputDirectory(com.learncamel.file.CopyFilesRouteTest)
2020-08-23 14:32:14,501 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2020-08-23 14:32:14,825 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-23 14:32:14,826 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2020-08-23 14:32:14,862 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-23 14:32:14,945 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-23 14:32:14,964 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-23 14:32:14,964 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-23 14:32:14,967 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.140 seconds
2020-08-23 14:32:16,002 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Preetams-MacBook-Pro-local-1598189534554-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/preetampotdar/IdeaProjects/learncamel-simple-route/data/input/file2.txt, CamelFileLastModified=1598185442000, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data/input, CamelFilePath=data/input/file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2020-08-23 14:32:16,017 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-Preetams-MacBook-Pro-local-1598189534554-0-3, CamelFileAbsolute=false, CamelFileAbsolutePath=/Users/preetampotdar/IdeaProjects/learncamel-simple-route/data/input/file1.txt, CamelFileLastModified=1598185442000, CamelFileLength=2, CamelFileName=file1.txt, CamelFileNameConsumed=file1.txt, CamelFileNameOnly=file1.txt, CamelFileParent=data/input, CamelFilePath=data/input/file1.txt, CamelFileRelativePath=file1.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1.txt]]]
2020-08-23 14:32:19,973 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2020-08-23 14:32:19,973 | INFO | CamelTestSupport.java 390 | Testing done: checkFileExistsInOutputDirectory(com.learncamel.file.CopyFilesRouteTest)
